CAS number,Principal name,Primary descriptor,Descriptor 2,Descriptor 3,Priority Date,Grant Date,,Publication Number
104986-28-9,"Hexanoic acid, 6-(acetyloxy)-, ethyl ester",Powdery,Fruity,Raspberry,1978-11-17,1982-03-23,1222d,US-4321306-A
68912-13-0,"3a,4,5,6,7,7a-Hexahydro-4,7-methano-1H-indenyl propionate (mixture of isomers)",Fruity,Floral,Pear,1978-11-15,1988-08-25,3571d,CH-645336-A5
17511-60-3,Tricyclodecenyl propionate,Green,Fruity,Pear,1978-11-15,1988-08-25,3571d,CH-645336-A5
67634-17-7,"2,4-Dimethylcyclohex-3-ene-1-methanol",Floral,Fresh,Green,1978-10-20,1980-03-25,522d,US-4195099-A
1079-01-2,Myrtenyl acetate,Herbal,Floral,Violet,1978-08-02,1981-08-04,1098d,US-4282248-A
7399-50-0,2-(1-Ethylpropyl)pyridine,Green,Galbanum,Bell Pepper,1978-07-27,1979-12-04,495d,US-4177349-A
67883-79-8,cis-3-Hexenyl tiglate,Green,Vegetable,Earthy,1978-06-28,1981-05-20,1057d,EP-0006616-B1
72089-08-8,"2-Methyl-4(2,2,3-trimethyl-3-cyclopentenyl)butanol",Woody,Sandalwood,Warm,1978-06-26,1982-03-18,1361d,CH-645088-A5
28219-60-5,"2-Methyl-4-(2,2,3-trimethyl-3-cyclopenten-1-yl)-2-buten-1-ol",Woody,Sandalwood,Creamy,1978-06-26,1988-05-11,3607d,DE-2827957-A1
31846-06-7,3-tert-Butylcyclohexyl acetate,Fruity,Apple,Woody,1978-05-12,1980-08-19,830d,US-4218348-A
5794-04-7,l-Camphene,Camphoraceous,Woody,Pine,1978-05-03,1981-09-22,1238d,CA-1109396-A
72175-33-8,Methyl 3-bicyclo[2.2.1]hept-5-en-2-yl-3-methyloxirane-2-carboxylate,Floral,Fruity,Jasmin,1978-04-17,1981-10-21,1283d,EP-0004968-A2
35836-73-8,(1R)-Nopol,Herbal,Pine,Camphoraceous,1978-04-10,1984-01-03,2094d,US-4424374-A
62518-65-4,3-(m-tert-Butylphenyl)-2-methylpropionaldehyde,Floral,Muguet,Sweet,1978-04-06,1988-11-15,3876d,SI-7810827-A8
141-11-7,Rhodinyl acetate,Floral,Rose,Citrus,1978-03-14,1981-09-01,1267d,US-4287100-A
70788-30-6,"1-(2,2,6-Trimethylcyclohexyl)-3-hexanol",Woody,Amber,Dry,1978-02-22,1981-05-07,1170d,CH-641202-A5
67800-86-6,"Bicyclo[2.2.1]heptane, 2-ethoxy-1,3,3-trimethyl-",Aromatic,Pine,Woody,1978-01-27,1978-12-26,333d,US-4131687-A
72402-00-7,"Cyclopentanol, 1,2-dimethyl-3-(1-methylethenyl)-",Herbal,Camphoraceous,Citrus,1977-12-27,1979-09-18,630d,US-4168281-A
67707-75-9,"Ethyl 3,5,5-trimethylhexanoate",Fruity,Apple,Green,1977-12-23,1981-01-20,1124d,CA-1093974-A
72183-75-6,1-Methyl-2-(1-methylpropyl)cyclohexyl acetate,Fruity,Tropical-Fruit,Sweet,1977-12-12,1981-07-07,1303d,EP-0002510-A1
37837-44-8,Benzaldehyde methyl anthranilate (Schiff base),Floral,Almond,Cherry-Blossom,1977-10-06,1980-02-05,852d,US-4187317-A
39129-16-3,Methyl 2-[(phenylmethylene)amino]benzoate,Gourmand,Almond,Cherry,1977-10-06,1980-02-05,852d,US-4187317-A
71078-31-4,"1-Oxaspiro[4.5]deca-3,6-diene,  2,6,9,10-tetramethyl-",Fruity,Blackcurrant,Green,1977-10-04,1979-12-18,805d,GB-1560286-A
113486-29-6,"3-Methyl-2,4-nonedione",Fruity,Caramel,Burnt,1977-09-25,1980-09-23,1094d,US-4224218-A
101-85-9,alpha-Amylcinnamyl alcohol,Floral,Jasmin,Citrus,1977-09-15,1980-08-19,1069d,US-4218347-A
51608-18-5,2-(trans-2-Pentenyl)cyclopentanone,Fruity,Jasmin,Oily,1977-08-12,1980-12-02,1208d,US-4237308-A
24817-51-4,Phenylethyl 2-methylbutyrate,Floral,Green,Rose,1977-07-29,1980-04-15,991d,US-4198323-A
28069-72-9,"(2E,6Z)-Nona-2,6-dien-1-ol",Green,Cucumber,Oily,1977-06-27,1984-07-24,2584d,US-4461309-A
68039-48-5,"3,5-Dimethylcyclohex-3-ene-1-carbaldehyde",Green,Grassy,Citrus,1977-06-27,1984-07-24,2584d,US-4461309-A
68140-48-7,"5-Acetyl-3-isopropyl-1,1,2,6-tetramethylindane",Musk like,Fruity,Sweet,1977-02-25,1987-08-06,3814d,CH-634032-A5
25152-85-6,cis-3-Hexenyl benzoate,Floral,Green,Balsamic,1977-02-04,1978-02-28,389d,US-4076853-A
15679-13-7,2-Isopropyl-4-methylthiazole,Fruity,Apricot,Peach,1977-02-01,1980-08-21,1297d,AU-3280178-A
67715-79-1,"1,2-Di((1'-ethoxy)ethoxy)propane",Fruity,Fresh,Green,1977-01-21,1982-07-20,2006d,CA-1128054-A
2277-19-2,cis-6-Nonenal,Green,Cucumber,Melon,1977-01-21,1982-07-20,2006d,CA-1128054-A
41519-23-7,cis-3-Hexenyl isobutyrate,Green,Apple,Pear,1976-12-23,1982-02-02,1867d,CA-1117425-A
67801-33-6,3-(Hydroxymethyl)nonan-2-one,Herbal,Lavender,Sweet,1976-12-22,1978-11-07,685d,US-4124707-A
3293-47-8,Dihydro-beta-ionol,Woody,Floral,Amber,1976-11-23,1981-01-20,1519d,CH-633508-A5
6658-48-6,p-Isobutyl-alpha-methyl hydrocinnamaldehyde,Floral,Muguet,Citrus,1976-11-22,1981-07-28,1709d,CA-1105932-A
42370-07-0,"1-(3,3-Dimethylbicyclo[2.2.1]hept-2-yl)ethane-1-one",Herbal,Minty,Camphoraceous,1976-11-11,1978-02-28,474d,DE-2750206-A1
66848-40-6,"3-Cyclohexene-1-carbonitrile, 3,5(2,4)-dimethyl-",Woody,Warm,Green,1976-10-26,1986-06-19,3523d,DE-2748054-A1
61920-45-4,Tetramethyl isopropyl dioxane,Woody,Earthy,Fruity,1976-10-23,1985-08-14,3217d,CH-631348-A5
18836-52-7,N-Isobutyldeca-trans-2-trans-4-dienamide,Spicy,Herbal,Green,1976-09-28,1988-04-12,4214d,DE-2643562-A1
41496-43-9,2-Methyl-3-tolylpropionaldehyde,Floral,Citrus,Balsamic,1976-09-23,1980-03-11,1265d,US-4192824-A
58475-04-0,(+/-)-4-Ethyloctanal,Floral,Milky,Fruity,1976-09-08,1999-12-07,8490d,GB-1568183-A
68877-29-2,"(1,7,7-Trimethylbicyclo[2.2.1]hept-2-yl)cyclohexan-1-ol",Woody,Warm,Sandalwood,1976-08-11,1977-05-03,265d,US-4021488-A
67019-89-0,"2,6-Nonadienenitrile",Floral,Violet,Green,1976-07-27,1988-02-04,4209d,CH-628809-A5
29895-73-6,Phenylacetaldehyde glyceryl acetal,Floral,Green,Honey,1976-07-19,1977-12-20,519d,US-4064141-A
40203-73-4,Methyl cyclopentylideneacetate,Floral,Fruity,Tuberose,1976-06-30,1981-01-15,1660d,DE-2729121-A1
23986-74-5,(-)-Germacrene D,Woody,Spicy,Dry,1976-06-11,1978-05-16,704d,US-4089764-A
4194-00-7,Isoeugenol benzoate,Balsamic,Spicy,Floral,1976-05-18,1980-04-15,1428d,CA-1075604-A
65443-14-3,"2,2,5-Trimethyl-5-pentylcyclopentanone",Floral,Jasmin,Peach,1976-05-13,1980-04-30,1448d,DE-2721002-A1
65113-95-3,"3-Methyl-5-(2,2,3-trimethyl-3-cyclopenten-1-yl)pent-3-en-2-one",Woody,Floral,Violet,1976-04-29,1977-10-04,523d,US-4052341-A
65113-99-7,"5-(2,2,3-Trimethyl-3-cyclopentenyl)-3-methylpentan-2-ol",Woody,Sandalwood,Amber,1976-04-29,1980-09-02,1587d,CA-1084949-A
7070-15-7,"exo-2-[(1,7,7-Trimethylbicyclo[2.2.1]hept-2-yl)oxy]ethanol",Woody,Cedarwood,Pine,1976-03-31,1982-07-27,2309d,US-4341180-A
7779-65-9,Isoamyl cinnamate,Spicy,Warm,Cinnamon,1976-03-23,1981-10-10,2027d,KR-810001273-B1
1786-08-9,Nerol oxide,Green,Floral,Neroli,1975-12-11,1980-04-29,1601d,CA-1076602-A
68083-58-9,"1,3-Dimethyl-3-phenylbutyl acetate",Woody,Vetiver,Rhubarb,1975-12-08,1978-10-31,1058d,DE-2654268-B2
63449-88-7,1-Cyclohexylethyl butyrate,Fruity,Berry,Leathery,1975-11-05,1981-09-15,2141d,CA-1109078-A
136954-20-6,3-Mercaptohexyl acetate,Fruity,Tropical-Fruit,Floral,1975-10-30,1983-05-31,2770d,FI-63944-B
32480-08-3,Dihydro farnesal,Aldehydic,Green,Floral,1975-09-08,1993-05-18,6462d,CH-623021-A5
5461-06-3,2-Methylpropyl octanoate,Fruity,Green,Oily,1975-07-24,1977-05-03,649d,US-4021429-A
62406-73-9,"6,10-Dioxaspiro[4.5]decane,  8,8-dimethyl-7-(1-methylethyl)-",Woody,Floral,Fruity,1975-07-24,2004-12-15,10737d,DE-2533048-A1
56767-18-1,2-trans-6-trans-Octadienal,Aldehydic,Citrus,Green,1975-07-18,1978-08-08,1117d,US-4105697-A
2556-10-7,Acetaldehyde ethyl phenylethyl acetal,Green,Fresh,Floral,1975-07-03,1976-06-08,341d,CH-626805-A5
13494-07-0,"3,5-Dimethyl-1,2-cyclopentadione",Gourmand,Toffee,Burnt,1975-06-26,1976-06-08,348d,US-3962472-A
13851-11-1,"1,3,3-Trimethyl-2-norbornanyl acetate",Herbal,Pine,Fresh,1975-06-06,1977-09-13,830d,US-4048120-A
62439-41-2,"6-Methoxy-2,6-dimethylheptan-1-al",Marine,Ozonic,Fruity,1975-05-29,1986-11-06,4179d,CH-622762-A5
564-20-5,Sclareolide,Woody,Dry,Amber,1975-05-21,1977-05-30,740d,SU-559916-A1
52514-66-6,"Phenol, 2-methoxy-4-(4,4,6-trimethyl-1,3-dioxan-2-yl)-",Gourmand,Sweet,Vanilla,1975-04-30,,,DE-2519161-A1
67801-64-3,Ethyl 2-tert-butylcyclohexyl carbonate,Spicy,Woody,Floral,1975-04-25,1978-03-21,1061d,CH-617349-A5
61699-38-5,Methylcyclooctyl carbonate,Herbal,Fresh,Floral,1975-04-25,1986-07-24,4108d,DE-2518392-A1
53834-70-1,"1,5,7-Octatrien-3-ol, 3,7-dimethyl-, (5E)-",Floral,Fruity,Ylang,1975-04-15,,,CH-596121-A5
68039-26-9,"Butanoic acid, 2-methyl-, pentyl ester",Fruity,Apple,Tropical-Fruit,1975-04-08,1976-08-31,511d,US-3978239-A
103-59-3,Cinnamyl isobutyrate,Fruity,Spicy,Balsamic,1975-04-08,1976-08-31,511d,US-3978239-A
2396-78-3,Methyl 3-hexenoate,Earthy,Sweet,Fruity,1975-02-24,1977-01-04,680d,US-4001300-A
13894-62-7,Methyl cis-3-hexenoate,Fruity,Floral,Oily,1975-02-24,1977-01-04,680d,DE-2606051-A1
564-94-3,"2-Formyl-6,6-dimethylbicyclo(3.1.1)hept-2-ene",Spicy,Cinnamon,Tonka,1975-02-19,1976-12-28,678d,US-4000050-A
40188-41-8,"3,7-Dimethyloctanenitrile",Citrus,Lemon,Aldehydic,1975-01-27,1977-09-27,974d,US-4051153-A
10402-47-8,Geranyl pentanoate,Fruity,Floral,Rose,1974-11-21,1977-05-24,915d,US-4025539-A
103-56-0,Cinnamyl propionate,Spicy,Balsamic,Fruity,1974-10-29,1976-09-21,693d,US-3982009-A
10402-33-2,Eugenyl phenylacetate,Spicy,Floral,Honey,1974-09-19,1976-12-28,831d,US-4000090-A
2270-60-2,"Methyl 3,7-dimethyl-6-octenoate",Floral,Rose,Geranium,1974-09-19,1980-03-04,1993d,CA-1072956-A
77-54-3,Cedryl acetate,Woody,Soft,Sweet,1974-08-09,1985-12-19,4150d,CH-621105-A5
67715-80-4,"2-Methyl-4-propyl-1,3-oxathiane",Green,Tropical-Fruit,Galbanum,1974-08-02,1980-06-12,2141d,CH-588822-A5
85508-08-3,"3-Pentenoic acid, 2-methyl-, hexyl ester",Fruity,Tropical-Fruit,Sweet,1974-07-22,1976-01-06,533d,CH-628217-A5
1617-23-8,Ethyl 2-methyl-3-pentenoate,Fruity,Berry,Green,1974-07-22,1976-01-06,533d,NL-8200855-A
4411-89-6,2-Phenyl-2-butenal,Gourmand,Honey,Rose,1974-06-11,1976-05-18,707d,US-3958029-A
16409-46-4,Menthyl isovalerate,Fruity,Sweet,Woody,1974-06-10,1978-05-16,1436d,US-4089814-A
389083-83-4,(1-Ethoxyethoxy)-cyclododecane,Woody,Amber,Dry,1974-06-07,1976-11-23,900d,DE-2427500-A1
58567-11-6,Formaldehyde cyclododecyl ethyl acetal,Woody,Amber,Dry,1974-06-07,1979-12-20,2022d,DE-2427500-A1
17627-44-0,alpha-Bisabolene,Floral,Soft,Balsamic,1974-05-31,1991-01-01,6059d,FR-2272670-A1
1217-08-9,"2-(1,1,2,3,3-Pentamethylindan-5-yl)-1-propanol",Musk like,Floral,Warm,1974-05-01,1977-12-15,1324d,SU-584777-A3
72403-67-9,Myraldyl acetate,Floral,Sweet,Fruity,1974-04-19,1978-01-10,1362d,DE-2559957-B1
7149-26-0,Linalyl anthranilate,Floral,Neroli,Ylang,1974-04-19,1980-10-09,2365d,DE-2559957-B1
35854-86-5,cis-6-Nonen-1-ol,Fruity,Melon,Green,1974-04-19,,,DE-2559957-B1
27829-72-7,Ethyl trans-2-hexenoate,Fruity,Juicy,Green,1974-04-11,1979-02-27,1783d,CA-1049410-A
515-00-4,Myrtenol,Herbal,Pine,Minty,1974-03-18,1978-09-26,1653d,US-4117110-A
58096-46-1,"4,4,8-Trimethyltricyclo[6.3.1.02,5]dodecan-1-yl  formate",Woody,Spicy,Peppery,1974-03-07,1976-08-31,908d,US-3978008-A
38223-29-9,"Oxacyclohexadecane-2,13-dione",Musk like,Sweet,Powdery,1974-03-07,1979-10-30,2063d,DE-2410859-A1
1879-00-1,"2,6-Dimethyloct-7-en-4-one",Fruity,Tagetes,Floral,1974-03-04,1976-05-04,792d,US-3954963-A
2198-61-0,Isoamyl hexanoate,Fruity,Pineapple,Green,1974-02-22,1979-03-06,1838d,CA-1050043-A
2035-99-6,Isoamyl octanoate,Fruity,Pineapple,Chocolate,1974-02-22,1979-03-06,1838d,CA-1050043-A
57934-97-1,"Ethyl 2-ethyl-6,6-dimethylcyclohex-2-ene-1-carboxylate",Floral,Spicy,Fruity,1974-02-22,1982-08-26,3107d,DE-2508060-A1
36431-72-8,Theaspirane,Herbal,Tea,Tobacco,1974-02-04,1977-03-29,1149d,CH-585742-A5
33673-71-1,"1-(2,4,4-Trimethyl-2-cyclohexen-1-yl)-2-buten-1-one",Fruity,Plum,Rose,1974-01-29,1978-07-06,1619d,DE-2502767-C3
56973-87-6,"1-(3,3-Dimethylcyclohexyl)pent-4-en-1-one",Herbal,Green,Pineapple,1974-01-29,1978-07-06,1619d,DE-2502767-C3
56973-85-4,"1-(5,5-Dimethyl-1-cyclohexen-1-yl)pent-4-en-1-one",Green,Fruity,Galbanum,1974-01-29,1978-07-06,1619d,DE-2502767-B2
25524-95-2,5-Hydroxy-7-decenoic acid delta-lactone,Fruity,Jasmin,Apricot,1973-11-23,1978-09-28,1770d,DE-2449666-A1
16930-96-4,Hexyl tiglate,Fruity,Fresh,Green,1973-11-09,1980-04-01,2335d,US-4196065-A
55066-56-3,p-Tolyl 3-methylbutyrate,Tobacco like,Spicy,Herbal,1973-11-05,1978-10-24,1814d,CA-1041018-A
61668-40-4,1-Ethoxy 1-decene,Aldehydic,Fresh,Green,1973-11-03,1976-01-27,815d,US-3935200-A
13487-27-9,.alpha.-Methylcyclohexylmethyl acetate,Fruity,Sweet,Pear,1973-10-17,1979-12-18,2253d,US-4179511-A
40527-42-2,"1,3-Benzodioxole, 5-(diethoxymethyl)-",Floral,Meadow,Spicy,1973-10-08,1976-02-03,848d,US-3936438-A
7779-23-9,Linalyl hexanoate,Fruity,Fermented,Warm,1973-09-25,2001-09-11,10213d,DE-2445649-A1
6051-03-2,Hexahydro-3H-benzofuran-2-one,Tobacco like,Hay,Powdery,1973-09-24,1978-10-10,1842d,US-4119646-A
20125-84-2,cis-3-Octen-1-ol,Fruity,Fresh,Melon,1973-09-10,1978-01-17,1590d,GB-1459944-A
6191-71-5,(Z)-4-Hepten-1-ol,Green,Grassy,Strawberry,1973-09-10,1983-08-09,3620d,GB-1459944-A
5579-78-2,epsilon-Decalactone,Gourmand,Sweet,Tonka,1973-08-31,1976-04-27,970d,DE-2439742-B2
94201-19-1,"1-Oxaspiro[4.5]decan-2-one, 8-methyl-",Gourmand,Lactonic,Coconut,1973-08-17,1976-09-14,1124d,US-3980651-A
91069-37-3,"1-Oxaspiro[4.5]decan-2-one, 8-methyl-, cis-",Woody,Creamy,Milky,1973-08-17,1976-09-14,1124d,US-3980651-A
6413-26-9,"Cyclohexanone 1,3-butylene glycol ketal",Herbal,Eucalyptus,Artemisia,1973-07-20,1981-02-10,2762d,DE-2433639-A1
7212-44-4,Nerolidol (isomer unspecified),Floral,Rose,Woody,1973-06-26,1976-08-17,1148d,US-3975446-A
933-48-2,"cis-3,5,5-Trimethylcyclohexan-1-ol",Green,Earthy,Minty,1973-05-23,1975-11-13,904d,DE-2326061-A1
18409-21-7,"2,4-Decadien-1-ol",Citrus,Fresh,Green,1973-04-25,1979-05-31,2227d,DE-2417385-A1
54546-26-8,"2-Butyl-4,4,6-trimethyl-1,3-dioxane",Herbal,Green,Floral,1973-04-18,1978-06-08,1877d,DE-2415922-A1
19870-74-7,Cedrol methyl ether,Woody,Dry,Amber,1973-04-09,1975-03-04,694d,DE-2416224-A1
7780-06-5,Isopropyl cinnamate,Balsamic,Fruity,Spicy,1973-03-13,1976-04-20,1134d,US-3952099-A
50607-64-2,2-Methylpentanal-methyl anthranilate (Schiff base),Green,Citrus,Floral,1973-03-06,1976-08-10,1253d,GB-1372018-A
54464-57-2,"1-(1,2,3,4,5,6,7,8-Octahydro-2,3,8,8-tetramethyl-2-naphthalenyl)ethanone",Woody,Floral,Amber,1973-02-27,1977-10-05,1681d,SU-576037-A3
55066-48-3,3-Methyl-5-phenylpentanol,Floral,Rose,Green,1973-02-22,1983-04-14,3703d,DE-2308735-A1
7785-70-8,d-.alpha.-Pinene,Herbal,Terpenic,Aromatic,1973-02-12,1976-01-20,1072d,DE-2405374-A1
39707-47-6,"1,6-Octadiene-3-thiol, 3,7-dimethyl-",Floral,Citrus,Sulfurous,1973-02-02,1978-01-10,1803d,CH-576788-A5
54082-68-7,"2,6,10-Trimethylundeca-5,9-dienal",Aldehydic,Floral,Marine,1973-01-31,1976-02-17,1112d,GB-1420886-A
24048-13-3,"2,6,10-Trimethylundeca-5,9-dienal (dihydroapofarnesal)",Aldehydic,Hyacinth,Muguet,1973-01-31,1976-02-17,1112d,GB-1420886-A
1576-95-0,(Z)-2-Penten-1-ol,Fruity,Cherry,Fresh,1973-01-26,1976-06-29,1250d,US-3966986-A
5989-33-3,"cis-Linalool oxide 3,6-oxide",Earthy,Floral,Sweet,1973-01-19,1977-08-30,1684d,US-4045551-A
53243-60-0,(E)-3-Methyl-5-phenylpent-2-enenitrile,Citrus,Lemon,Fresh,1972-11-17,1980-03-18,2678d,US-4193934-A
53243-59-7,(Z)-3-Methyl-5-phenylpent-2-enenitrile,Citrus,Spicy,Floral,1972-11-17,1980-03-18,2678d,US-4193934-A
93893-89-1,3-Methyl-5-phenylpent-2-enenitrile,Citrus,Rose,Cinnamon,1972-11-17,1980-03-18,2678d,US-4193934-A
60788-25-2,Citronellyl ethyl oxalate,Floral,Rose,Muguet,1972-11-17,1980-03-18,2678d,US-4193934-A
3681-71-8,cis-3-Hexen-1-yl acetate,Green,Fruity,Pear,1972-10-26,1979-01-23,2280d,US-4136066-A
65405-77-8,cis-3-Hexenyl salicylate,Floral,Green,Balsamic,1972-10-26,1979-01-23,2280d,US-4136066-A
1708-82-3,Hex-3-enyl acetate,Green,Floral,Fresh,1972-10-26,1979-01-23,2280d,US-4136066-A
3681-82-1,trans-3-Hexenyl acetate,Fruity,Green,Banana,1972-10-26,1979-01-23,2280d,US-4136066-A
140-27-2,Cinnamyl isovalerate,Fruity,Spicy,Ethereal,1972-10-25,1976-12-21,1518d,US-3998974-A
57378-68-4,"delta-1-(2,6,6-Trimethyl-3-cyclohexen-1-yl)-2-buten-1-one",Fruity,Apple,Rose,1972-10-17,1975-08-19,1036d,US-3900520-A
94-48-4,Geranyl benzoate,Floral,Green,Ylang,1972-10-10,1985-06-19,4635d,DE-2347454-A1
4430-31-3,Octahydrocoumarin,Balsamic,Vanilla,Hay,1972-08-31,1986-06-19,5040d,DE-2343360-A1
5331-14-6,(2-Butoxyethyl)benzene,Green,Apple,Herbal,1972-08-07,1974-12-17,862d,US-3855316-A
51755-85-2,3-(Methylthio)hexyl acetate,Sulfurous,Garlic,Onion,1972-08-02,2002-07-16,10940d,DE-2338680-A1
23550-40-5,4-(Methylthio)-4-methyl-2-pentanone,Fruity,Blackcurrant,Green,1972-08-02,,,DE-2338680-A1
60523-21-9,"Ethyl 2-methyl-3,4-pentadienoate",Fruity,Apple,Plum,1972-07-22,1976-08-24,1494d,US-3976801-A
53399-81-8,Ethyl 2-methyl-4-pentenoate,Fruity,Banana,Tropical-Fruit,1972-07-22,1976-08-24,1494d,US-3976801-A
53398-83-7,trans-2-Hexenyl butyrate,Green,Apple,Banana,1972-07-22,1976-08-24,1494d,US-3976801-A
22882-91-3,"(E)-1-Ethoxy-3,7-dimethylocta-2,6-diene",Fruity,Green,Fresh,1972-07-12,1978-09-26,2267d,DE-2335091-A1
7774-82-5,2-Tridecenal,Aldehydic,Mandarin,Orange,1972-07-12,1978-09-26,2267d,DE-2335111-A1
40267-72-9,Geranyl ethyl ether,Fruity,Green,Light,1972-07-12,1978-09-26,2267d,DE-2335091-A1
65405-73-4,Geranyl oxyacetaldehyde,Floral,Rose,Ozonic,1972-07-12,1978-09-26,2267d,DE-2335091-A1
37677-14-8,Isohexenyl cyclohexenyl carboxaldehyde,Aldehydic,Citrus,Orange,1972-07-12,1978-09-26,2267d,DE-2335091-A1
7069-41-2,trans-2-Tridecenal,Aldehydic,Mandarin,Green,1972-07-12,1978-09-26,2267d,DE-2335111-A1
33880-83-0,"Cyclohexane,  1-ethenyl-1-methyl-2,4-bis(1-methylethenyl)-,  (1R,2R,4S)-rel-",Herbal,Waxy,Fresh,1972-06-08,1976-11-16,1622d,US-3992527-A
52474-60-9,1-Methyl-3-(4-methyl-3-pentenyl)cyclohex-3-ene-1-carbaldehyde,Ozonic,Fresh,Aldehydic,1972-05-01,1981-02-10,3207d,DE-2321472-A1
52475-89-5,3-(4-Methyl-3-pentenyl)cyclohex-3-ene-1-carbaldehyde,Aldehydic,Fresh,Green,1972-05-01,1981-09-24,3433d,DE-2321472-A1
51414-25-6,3-(4-Hydroxy-4-methylpentyl)cyclohex-3-ene-1-carbaldehyde,Floral,Muguet,Aldehydic,1972-05-01,1998-07-02,9558d,DE-2321472-A1
68931-30-6,"1,6,10,14-Hexadecatetraen-3-ol, 3,7,11,15- tetramethyl-",Floral,Rose,Jasmin,1972-03-13,1977-02-01,1786d,US-4006193-A
51566-62-2,Citronellyl nitrile,Citrus,Rose,Green,1972-03-06,1975-06-19,1200d,DE-2210762-A1
40785-62-4,3-Oxabicyclo[10.3.0]pentadec-6-ene,Musk like,Earthy,Powdery,1972-02-28,1974-07-16,869d,US-3824258-A
5764-85-2,Ethyl 3-hydroxy-3-phenylpropionate,Fruity,Strawberry,Dry,1972-02-05,1976-11-30,1760d,US-3994974-A
71048-82-3,"[1.alpha.(E),2.beta.]-1-(2,6,6-Trimethyl-3-cyclohexen-1-yl)-2-buten-1-one",Floral,Rose,Apple,1972-02-03,1975-06-03,1216d,CH-566112-A5
28043-10-9,"Methyl 2,6,6-trimethylcyclohex-2-ene-1-carboxylate",Floral,Fruity,Woody,1972-02-03,1975-06-03,1216d,US-3887625-A
1189-09-9,trans-Methylgeranate,Floral,Fruity,Balsamic,1972-02-03,1975-06-03,1216d,DE-2305140-A1
7335-26-4,Ethyl 2-methoxybenzoate,Floral,Ylang,Fruity,1972-01-14,1976-04-27,1565d,US-3953604-A
10032-02-7,Geranyl hexanoate,Floral,Rose,Oily,1971-12-30,1979-06-21,2730d,DE-2165633-B2
8028-48-6,"Orange peel, sweet, extract",Citrus,Fresh,Sharp,1971-12-09,1993-12-16,8043d,DE-2161084-A1
13720-12-2,Dihydro-.gamma.-ionone,Woody,Amber,Earthy,1971-10-18,1975-06-17,1338d,US-3890395-A
31499-72-6,Dihydro-alpha-ionone,Floral,Orris,Woody,1971-10-18,1975-06-17,1338d,US-3890395-A
41724-19-0,"Octahydro-7-methyl-1,4-methanonaphtalen-6(2H)-one",Herbal,Aromatic,Woody,1971-10-11,1976-04-27,1660d,US-3953534-A
122-67-8,Isobutyl cinnamate,Fruity,Sweet,Balsamic,1971-09-08,1976-08-24,1812d,DE-2243236-B2
40942-73-2,3-(2-Oxopropyl)-2-pentylcyclopentanone,Floral,Jasmin,Fresh,1971-09-01,,,DE-2242463-B2
41199-19-3,"1,2,3,4,4a,5,6,7-Octahydro-2,5,5-trimethyl-2-naphthalenol",Amber,Woody,Animal Like,1971-08-17,1975-06-17,1400d,DE-2240311-A1
6789-80-6,cis-3-Hexenal,Green,Grassy,Fruity,1971-08-17,1975-06-17,1400d,DE-2240311-A1
35044-59-8,"Ethyl 2,6,6-trimethylcyclohexa-1,3-ene-1-carboxylate",Herbal,Floral,Apple,1971-08-17,1975-06-17,1400d,DE-2240311-A1
35044-58-7,"Ethyl 6,6-dimethyl-2-methylenecyclohex-3-enecarboxylate",Fruity,Plum,Tobacco,1971-08-17,1975-06-17,1400d,DE-2240311-A1
35044-57-6,Ethyl safranate,Floral,Rose,Fruity,1971-08-17,1975-06-17,1400d,DE-2240311-A1
40910-49-4,Acetaldehyde ethyl linalyl acetal,Floral,Tropical-Fruit,Herbal,1971-08-11,1982-01-21,3816d,DE-2240206-A1
51755-66-9,3-(Methylthio)-1-hexanol,Fruity,Pineapple,Mango,1971-06-23,,,IL-39658-A
15760-18-6,3-(4-Methyl-3-cyclohexenyl)butanol,Floral,Rose,Muguet,1971-06-14,1973-11-20,890d,US-3773824-A
1335-66-6,Isocyclocitral,Green,Fresh,Herbal,1971-04-27,1974-05-21,1120d,US-3812059-A
39872-57-6,"(E)-1-(2,4,4-Trimethyl-2-cyclohexen-1-yl)-2-buten-1-one",Floral,Plum,Rose,1971-04-26,1981-04-09,3636d,DE-2120413-A1
33885-52-8,".alpha.,.alpha.,6,6-Tetramethylbicyclo[3.1.1]hept-2-ene-2-propionaldehyde",Herbal,Pine,Ozonic,1971-04-02,1973-02-13,683d,US-3716498-A
57576-09-7,Isopulegyl acetate,Minty,Peppermint,Sweet,1971-03-29,1976-04-27,1856d,DE-2115130-A1
32388-55-9,Acetyl cedrene,Woody,Leathery,Vetiver,1971-03-18,1976-10-26,2049d,DE-2209923-A1
68844-97-3,"Benzeneacetaldehyde, 3,4-dimethyl-",Green,Floral,Fresh,1971-02-25,1976-01-13,1783d,US-3932393-A
39668-74-1,"Glycine, N-[[5-methyl-2-(1-methylethyl)cyclohexyl]carbonyl]-, ethyl ester",Herbal,Minty,Cooling,1971-02-04,1981-06-04,3773d,DE-2205255-A1
39711-79-0,N-Ethyl-2-isopropyl-5-methylcyclohexane carboxamide,Minty,Herbal,Fresh,1971-02-04,1981-06-04,3773d,DE-2205255-A1
326-61-4,Piperonyl acetate,Fruity,Raspberry,Floral,1971-02-03,1973-04-24,811d,DE-2162557-A1
40596-76-7,"4,8-Dimethyl-7-nonen-2-ol",Citrus,Lemon,Grapefruit,1971-02-01,1973-05-08,827d,DE-2202021-A1
