CAS number,Principal name,Primary descriptor,Descriptor 2,Descriptor 3,Priority Date,Grant Date,,Publication Number
197098-61-6,"2,5,7-Octatrien-1-ol, 2,6-dimethyl-, 1-acetate",Fruity,Fresh,Sweet,2016-07-26,2017-08-15,385d,US-2016376263-A1
10486-14-3,Rhodinyl phenylacetate,Floral,Rose,Honey,2016-07-26,2017-08-15,385d,US-2016376263-A1
94159-31-6,2-(4-Methyl-5-thiazolyl)ethyl butanoate,Food Like,Nutty,Savoury,2016-07-26,,,US-2016376263-A1
7605-52-9,"Cyclohexanecarboxylic acid, 3-methyl, methyl ester, (1R,3S)-rel-",Fruity,Raspberry,Green,2016-02-05,,,WO-2017133657-A1
52711-52-1,"2,7-Decadienal, (2E,7Z)-",Green,Violet,Cucumber,2015-12-11,2018-07-31,963d,US-10035972-B2
72894-15-6,"2,12-Tridecadienal",Aldehydic,Fatty,Waxy,2015-12-11,2018-07-31,963d,JP-2019501121-A
122-68-9,3-Phenylpropyl cinnamate,Balsamic,Spicy,Fruity,2015-10-01,2017-08-15,684d,TW-201722940-A
94134-03-9,cis-3-Octenyl propionate,Fruity,Pear,Melon,2015-10-01,2019-08-27,1426d,TW-201722940-A
57082-24-3,Caryophyllene acetate,Woody,Fruity,Spicy,2015-10-01,,,TW-201722940-A
71048-83-4,"2-Buten-1-one, 1-(2,6,6-trimethyl-3-cyclohexen-1-yl)-, [1alpha(E),alpha]- (9CI)",Floral,Rose,Plum,2015-06-19,,,US-2016369204-A1
67674-36-6,"2,6-Nonadienal diethyl acetal",Green,Cucumber,Oily,2015-06-12,2019-07-02,1481d,US-10336966-B2
34686-67-4,"Cyclopentanol, 2-(2-hexen-1-yl)-",Floral,Jasmin,Banana,2014-12-16,,,WO-2016100477-A1
862079-91-2,"Pyridine, 4-[1(4-,5 or 6)-methylbicyclo[2.2.1]hept-5-en-2-yl]-",Green,Onion,Phenolic,2014-12-08,2018-01-31,1150d,EP-3031496-B1
68433-81-8,"2,3,4,4a,5,6-hexahydro-2,2-dimethyl-1,3-methanonaphthalen-7(1H)-one",Powdery,Woody,Tobacco,2014-09-26,,,EP-3197425-A1
27135-90-6,"3a,4,5,6,7,7a-Hexahydromethoxy-4,7-methano-1H-indene (isomer unspecified)",Green,Nasturtium,Hyacinth,2014-09-26,,,CA-2959432-A1
21690-43-7,"3-Cyclohexene-1-carbonitrile, 4-(4-methyl-3-pentenyl)-",Ozonic,Fresh,Citrus,2014-09-26,,,CA-2959432-A1
3487-99-8,Amyl cinnamate,Woody,Balsamic,Sweet,2014-09-26,,,CA-2959434-A1
154171-77-4,"Spiro[1,3-dioxolane-2,8'(5'H)-[2H-2,4a]methanonaphthalene],hexahydro-1',1',5',5'-
tetramethyl-, [2'S-(2'.alpha.,4'a.alpha.,8'a.alpha.)]-",Woody,Dry,Vetiver,2014-09-26,,,EP-3197422-A1
67952-65-2,"Pyrazine, methyl (methylthio)-",Food Like,Nutty,Earthy,2014-01-06,2018-04-24,1569d,US-9951046-B2
