model,prompt_1_correct,prompt_2_correct,total_questions,prompt_1_accuracy,prompt_2_accuracy,average_accuracy
babbage-002,0,0,30,0.0,0.0,0.0
gpt-2,1,2,30,3.3333333333333335,6.666666666666667,5.0
davinci-002,5,4,30,16.666666666666664,13.333333333333334,15.0
gpt-3.5-turbo,8,10,30,26.666666666666668,33.33333333333333,30.0
gpt-3.5-turbo-instruct,8,11,30,26.666666666666668,36.666666666666664,31.666666666666664
gpt-4,10,13,30,33.33333333333333,43.333333333333336,38.333333333333336
