model,prompt_1_correct,prompt_2_correct,total_questions,prompt_1_accuracy,prompt_2_accuracy,average_accuracy
gpt-3.5-turbo,8,10,30,26.666666666666668,33.33333333333333,30.0
gpt-4,10,13,30,33.33333333333333,43.333333333333336,38.333333333333336
